Unique Identifier,"Job 
Code",Location,"London/
National",Job Title,Contract Type, Weekly Hours,Hourly Rate,Hourly Geo,Basic + Geo,4 weekly pay for OHR,4 weekly Geo for OHR,Weekly Geo for OHR,Annual Salary (hrs x 52 x rate),"Annual Geo 
(hrs x 52 x rate)",Annual Salary with Geo,Non-consolidated,Prem 1,"Prem 2 
(bank hol premium)","Prem 2 
(6th shift)",Shift 1,Shift 2,Kronos Rules/Pay Code,OSP Scheme (Dependent on amount of days worked),Holiday Scheme,Comments,Rate To Be Included?,Job Type Match,Parity Status,Standard Net Pay,Friday Net Pay,Saturday Net Pay,Sunday Net Pay,Overtime 1 Net Pay,Overtime 2 Net Pay,Standard Combined,Friday Combined,Saturday Combined,Sunday Combined,Overtime ,
RugbyWarehouse Operative Night,,Rugby,,Warehouse Operative Night,,35,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.57 , £ 12.57 , £ 12.96 , £ 12.96 ,,,£12.57,£12.57,£12.96,£12.96, n/a ,
RugbyWarehouse Operative Night Parity,,Rugby,,Warehouse Operative Night Parity,,35,£13.25,,£13.25,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.25 , £ 13.25 , £ 13.64 , £ 13.64 ,,,£13.25,£13.25,£13.64,£13.64, n/a ,
WarringtonInduction,,Warrington,National,Induction,,37.5,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 ,, £ 12.21 , £ 12.21 , n/a ,,£12.21,n/a,£12.21,£12.21, n/a ,
WarringtonWarehouse Operative AM,,Warrington,National,Warehouse Operative AM,,37.5,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.49 , £ 12.49 ,,,£12.21,£12.21,£12.49,£12.49, n/a ,
WarringtonWarehouse Operative AM Parity,,Warrington,National,Warehouse Operative AM Parity,,37.5,£10.25,,£10.25,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.28 , £ 12.28 , £ 12.57 , £ 12.57 ,,,£12.28,£12.28,£12.57,£12.57, n/a ,
WarringtonWarehouse Operative PM,,Warrington,National,Warehouse Operative PM,,37.5,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.32 , £ 12.32 , £ 12.75 , £ 12.75 ,,,£12.32,£12.32,£12.75,£12.75, n/a ,
WarringtonWarehouse Operative PM Parity,,Warrington,National,Warehouse Operative PM Parity,,37.5,£10.62,,£10.62,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.63 , £ 12.63 , £ 13.06 , £ 13.06 ,,,£12.63,£12.63,£13.06,£13.06, n/a ,
WarringtonWarehouse Operative Night,,Warrington,National,Warehouse Operative Night,,37.5,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.57 , £ 12.57 , £ 12.96 , £ 12.96 ,,,£12.57,£12.57,£12.96,£12.96, n/a ,
WarringtonWarehouse Operative Night Parity,,Warrington,National,Warehouse Operative Night Parity,,37.5,£11.12,,£11.12,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.25 , £ 13.25 , £ 13.64 , £ 13.64 ,,,£13.25,£13.25,£13.64,£13.64, n/a ,
WednesburyWarehouse Operative AM,,Wednesbury,,Warehouse Operative AM,,40,£9.54 ,,£9.54 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
WednesburyWarehouse Operative AM,,Wednesbury,,Warehouse Operative AM,,40,£9.54 ,,£9.54 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
WednesburyWarehouse Operative PM,,Wednesbury,,Warehouse Operative PM,,40,£9.65 ,,£9.65 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
WednesburyWarehouse Operative PM,,Wednesbury,,Warehouse Operative PM,,40,£10.15 ,,£10.15 ,,,,,,,,,,,,,,,,,Yes,Warehouse,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
WarringtonVan Network Driver,,Warrington,National,Van Network Driver,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
BarnsleyVan Network Driver,,Barnsley,National,Van Network Driver,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
RugbyVan Network Driver,,Rugby,National,Van Network Driver,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.21 , £ 12.21 , £ 12.21 , £ 12.21 ,,,£12.21,£12.21,£12.21,£12.21, n/a ,
RugbyVan Network Driver Nights,,Rugby,National,Van Network Driver Nights,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.98 , £ 12.98 , £ 12.98 , £ 12.98 ,,,£12.98,£12.98,£12.98,£12.98, n/a ,
WarringtonVan Network Driver Nights,,Warrington,National,Van Network Driver Nights,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.41 , £ 12.41 , £ 12.41 , £ 12.41 ,,,£12.41,£12.41,£12.41,£12.41, n/a ,
BarnsleyVan Network Driver Nights,,Barnsley,National,Van Network Driver Nights,,,,,,,,,,,,,,,,,,,,,,Yes,Van Driver,Post Parity, £ 12.63 , £ 12.63 , £ 12.63 , £ 12.63 ,,,£12.63,£12.63,£12.63,£12.63, n/a ,
NuneatonWarehouse Operative Night Parity,,Nuneaton,,Warehouse Operative Night Parity,,35, £ 10.31 ,, £ 10.31 ,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 12.80 , £ 12.80 , £ 13.19 , £ 13.19 ,,,£12.80,£12.80,£13.19,£13.19, n/a ,
RugbyGatehouse Coordinator,,Rugby,,Gatehouse Coordinator,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 13.40 , £ 13.40 , £ 13.40 , £ 13.40 ,,,£13.40,£13.40,£13.40,£13.40, n/a ,
RugbyGatehouse Coordinator,,Rugby,,Gatehouse Coordinator,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.40 , £ 13.40 , £ 13.40 , £ 13.40 ,,,£13.40,£13.40,£13.40,£13.40, n/a ,
RugbyYard Marshall,,Rugby,,Yard Marshall,,40,,,,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.40 , £ 13.40 , £ 13.40 , £ 13.40 ,,,£13.40,£13.40,£13.40,£13.40, n/a ,
WarringtonGatehouse Coordinator,,Warrington,,Gatehouse Coordinator,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse,Pre Parity, £ 13.40 , £ 13.40 , £ 13.40 , £ 13.40 ,,,£13.40,£13.40,£13.40,£13.40, n/a ,
WarringtonGatehouse Coordinator,,Warrington,,Gatehouse Coordinator,,,,,,,,,,,,,,,,,,,,,,Yes,Warehouse Parity,Post Parity, £ 13.40 , £ 13.40 , £ 13.40 , £ 13.40 ,,,£13.40,£13.40,£13.40,£13.40, n/a ,
RugbyCat C Day Driver,,Rugby,,Cat C Day Driver,,40,£12.25,,£12.25,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 12.25 , £ 12.25 , £ 12.25 , £ 12.25 ,,,£12.25,£12.25,£12.25,£12.25, n/a ,
RugbyCat C Night Driver,,Rugby,,Cat C Night Driver,,40,£13.25,,£13.25,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 13.25 , £ 13.25 , £ 13.25 , £ 13.25 ,,,£13.25,£13.25,£13.25,£13.25, n/a ,
WarringtonClass 2 Day ,,Warrington,National,Class 2 Day ,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 12.25 , £ 12.25 , £ 12.25 , £ 12.25 ,,,£12.25,£12.25,£12.25,£12.25, n/a ,
WarringtonClass 2 Night,,Warrington,National,Class 2 Night,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 13.25 , £ 13.25 , £ 13.25 , £ 13.25 ,,,£13.25,£13.25,£13.25,£13.25, n/a ,
BarnsleyClass 2 Day ,,Barnsley,,Class 2 Day ,,,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 13.12 , £ 13.12 , £ 13.12 , £ 13.12 ,,,£13.12,£13.12,£13.12,£13.12, n/a ,
BarnsleyClass 2 Night,,Barnsley,,Class 2 Night,,,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 14.43 , £ 14.43 , £ 14.43 , £ 14.43 ,,,£14.43,£14.43,£14.43,£14.43, n/a ,
BarnsleyDay Assessors,,Barnsley,National,Day Assessors,,,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 14.00 , £ 18.50 , £ 18.50 , £ 18.50 ,,,£14.00,£18.50,£18.50,£18.50, n/a ,
WarringtonDay Assessors,,Warrington,National,Day Assessors,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 14.00 , £ 18.50 , £ 18.50 , £ 18.50 ,,,£14.00,£18.50,£18.50,£18.50, n/a ,
BarnsleyNight Assessors,,Barnsley,National,Night Assessors,,,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 15.25 , £ 18.50 , £ 18.50 , £ 19.50 ,,,£15.25,£18.50,£18.50,£19.50, n/a ,
WarringtonNight Assessors,,Warrington,National,Night Assessors,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 15.25 , £ 18.50 , £ 18.50 , £ 19.50 ,,,£15.25,£18.50,£18.50,£19.50, n/a ,
WarringtonCat C&E AM Driver,,Warrington,National,Cat C&E AM Driver,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 15.00 , £ 15.50 , £ 16.00 , £ 16.26 ,,,£15.00,£15.50,£16.00,£16.26, n/a ,
WarringtonCat C&E PM Driver,,Warrington,National,Cat C&E PM Driver,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 15.50 , £ 16.00 , £ 16.50 , £ 17.00 ,,,£15.50,£16.00,£16.50,£17.00, n/a ,
WarringtonCat C&E Night Driver,,Warrington,National,Cat C&E Night Driver,,48,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 16.20 , £ 17.00 , £ 17.50 , £ 17.80 ,,,£16.20,£17.00,£17.50,£17.80, n/a ,
BarnsleyCat C&E AM Driver,,Barnsley,,Cat C&E AM Driver,,45,£14.75,,£14.75,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 16.21 , £ 16.95 , £ 17.87 , £ 18.20 ,,,£16.21,£16.95,£17.87,£18.20, n/a ,
BarnsleyCat C&E PM Driver,,Barnsley,,Cat C&E PM Driver,,45,£15.40,,£15.40,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 16.87 , £ 17.60 , £ 18.29 , £ 18.61 ,,,£16.87,£17.60,£18.29,£18.61, n/a ,
BarnsleyCat C&E Night Driver,,Barnsley,,Cat C&E Night Driver,,45,£16.15,,£16.15,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.59 , £ 18.10 , £ 20.69 , £ 21.96 ,,,£17.59,£18.10,£20.69,£21.96, n/a ,
RugbyCat C&E AM Driver,,Rugby,,Cat C&E AM Driver,,45,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 15.50 , £ 16.46 , £ 16.76 , £ 19.55 ,,,£15.50,£16.46,£16.76,£19.55, n/a ,
RugbyCat C&E PM Driver,,Rugby,,Cat C&E PM Driver,,45,,,,,,,,,,,,,,,,,,,,Yes,HGV Driver,Post Parity, £ 17.11 , £ 17.50 , £ 19.35 , £ 20.24 ,,,£17.11,£17.50,£19.35,£20.24, n/a ,
